Name, Distance1, puV1, Distance2, puV2, Color, Thickness, Linetype, Markcenter, Centercode, NodeCode, NodeWidth,Title=L-N Voltage Profile, Distance in km
LN5815900-1, 0, 1.04856, 0.0195933, 1.04822,1, 2, 0, 0, 0, 16, 1
LN5815900-1, 0, 1.04673, 0.0195933, 1.04643,2, 2, 0, 0, 0, 16, 1
LN5815900-1, 0, 1.04976, 0.0195933, 1.04964,3, 2, 0, 0, 0, 16, 1
LN5742828-1, 0.0195933, 1.04822, 0.0448456, 1.04778,1, 2, 0, 0, 0, 16, 1
LN5742828-1, 0.0195933, 1.04643, 0.0448456, 1.04605,2, 2, 0, 0, 0, 16, 1
LN5742828-1, 0.0195933, 1.04964, 0.0448456, 1.0495,3, 2, 0, 0, 0, 16, 1
TPX226195333C0, 0.0448456, 1.03996, 0.0600856, 1.03463,1, 2, 2, 0, 0, 16, 1
TPX226195333C0, 0.0448456, 1.04433, 0.0600856, 1.04556,2, 2, 2, 0, 0, 16, 1
LN5742828-2, 0.0448456, 1.04778, 0.114118, 1.04659,1, 2, 0, 0, 0, 16, 1
LN5742828-2, 0.0448456, 1.04605, 0.114118, 1.04501,2, 2, 0, 0, 0, 16, 1
LN5742828-2, 0.0448456, 1.0495, 0.114118, 1.0491,3, 2, 0, 0, 0, 16, 1
LN5473414-1, 0.114118, 1.04659, 0.221067, 1.04476,1, 2, 0, 0, 0, 16, 1
LN5473414-1, 0.114118, 1.04501, 0.221067, 1.0434,2, 2, 0, 0, 0, 16, 1
LN5473414-1, 0.114118, 1.0491, 0.221067, 1.0485,3, 2, 0, 0, 0, 16, 1
LN5714974-1, 0.221067, 1.04476, 0.343671, 1.04267,1, 2, 0, 0, 0, 16, 1
LN5714974-1, 0.221067, 1.0434, 0.343671, 1.04157,2, 2, 0, 0, 0, 16, 1
LN5714974-1, 0.221067, 1.0485, 0.343671, 1.04782,3, 2, 0, 0, 0, 16, 1
LN5896798-1, 0.343671, 1.04267, 0.387831, 1.04192,1, 2, 0, 0, 0, 16, 1
LN5896798-1, 0.343671, 1.04157, 0.387831, 1.04091,2, 2, 0, 0, 0, 16, 1
LN5896798-1, 0.343671, 1.04782, 0.387831, 1.04758,3, 2, 0, 0, 0, 16, 1
LN5775442-1, 0.387831, 1.04192, 0.493392, 1.04012,1, 2, 0, 0, 0, 16, 1
LN5775442-1, 0.387831, 1.04091, 0.493392, 1.03932,2, 2, 0, 0, 0, 16, 1
LN5775442-1, 0.387831, 1.04758, 0.493392, 1.04704,3, 2, 0, 0, 0, 16, 1
TPX223658A0, 0.493392, 1.03268, 0.508632, 1.03111,1, 2, 2, 0, 0, 16, 1
TPX223658A0, 0.493392, 1.0345, 0.508632, 1.03428,2, 2, 2, 0, 0, 16, 1
CAP_1C, 0.493392, 1.04012, 0.494392, 1.04003,1, 2, 0, 0, 0, 16, 1
CAP_1C, 0.493392, 1.03932, 0.494392, 1.03924,2, 2, 0, 0, 0, 16, 1
CAP_1C, 0.493392, 1.04704, 0.494392, 1.04697,3, 2, 0, 0, 0, 16, 1
LN5513564-2, 0.494392, 1.04003, 0.5395, 1.03927,1, 2, 0, 0, 0, 16, 1
LN5513564-2, 0.494392, 1.03924, 0.5395, 1.03857,2, 2, 0, 0, 0, 16, 1
LN5513564-2, 0.494392, 1.04697, 0.5395, 1.04674,3, 2, 0, 0, 0, 16, 1
LN5513564-1, 0.5395, 1.03927, 0.560781, 1.03886,1, 2, 0, 0, 0, 16, 1
LN5513564-1, 0.5395, 1.03857, 0.560781, 1.0382,2, 2, 0, 0, 0, 16, 1
LN5513564-1, 0.5395, 1.04674, 0.560781, 1.04659,3, 2, 0, 0, 0, 16, 1
